location_name,latitude,longitude
Manikonda Block 3,17.41625,78.3858
Balkampet Block 3,17.43745,78.44254
Mehdipatnam,17.395,78.437
RTC X Roads,17.4063,78.4864
Himayatnagar Block 3,17.39368,78.48256
Kachiguda Block 3,17.41103,78.51181
BHEL Township Block 3,17.48121,78.34264
SR Nagar,17.4359,78.4483
Toli Chowki,17.3977,78.4037
Hayathnagar Block 3,17.33399,78.61833
Nallagandla Block 2,17.4682,78.30717
HITEC City Block 3,17.4439,78.37909
Saifabad Block 3,17.39979,78.46787
Vanastalipuram Block 2,17.31038,78.57063
Lakdikapool Block 4,17.41997,78.46275
Khairatabad Block 3,17.43245,78.44841
Gachibowli Block 2,17.45243,78.33987
Punjagutta Block 3,17.42874,78.45175
Ramnagar,17.408,78.5069
Ashok Nagar Block 2,17.39946,78.48312
Peerzadiguda Block 2,17.43667,78.60024
Shamshabad Block 3,17.24262,78.40027
Sanathnagar Block 3,17.46576,78.4592
Chanda Nagar Block 2,17.50626,78.33996
Somajiguda Block 4,17.42548,78.44443
Madhura Nagar Block 3,17.41465,78.4588
Vidyanagar,17.4066,78.5158
Begumpet Block 4,17.42937,78.4587
Sanathnagar Block 4,17.46988,78.44321
Punjagutta Block 2,17.42635,78.43653
HITEC City Block 2,17.44179,78.38729
SR Nagar Block 3,17.43533,78.43905
Masab Tank Block 3,17.39879,78.44441
Manikonda,17.4066,78.3948
Abids Block 2,17.39391,78.47293
Toli Chowki Block 3,17.41199,78.39757
Amberpet Block 2,17.38462,78.54275
